red,green,blue,gray
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
253,253,253,253
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
254,254,254,254
255,255,255,255
255,255,255,255
255,254,253,254
255,254,253,254
255,254,253,254
255,254,253,254
255,254,253,254
255,254,253,254
255,254,253,254
255,254,253,254
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
249,254,255,254
249,254,255,254
250,255,254,254
254,254,254,254
255,254,253,254
255,254,253,254
255,254,251,253
255,254,251,253
255,253,251,253
255,254,251,253
255,254,251,253
255,254,251,253
255,254,253,254
254,255,253,254
254,255,253,254
254,255,253,254
255,254,255,254
255,252,255,253
255,249,255,251
255,249,255,251
255,249,255,251
255,250,255,252
255,251,255,253
250,252,253,252
249,253,248,251
253,255,251,254
255,255,251,254
250,249,245,248
255,255,255,255
253,254,255,254
242,247,255,249
240,249,255,250
243,252,255,252
244,253,255,253
251,253,255,253
255,253,255,254
255,251,255,253
255,252,255,253
255,247,251,249
255,253,255,254
255,254,255,254
255,255,255,255
251,255,254,254
250,255,254,254
250,255,254,254
250,255,254,254
253,255,254,254
253,255,254,254
254,255,253,254
254,255,253,254
254,255,253,254
254,255,253,254
254,255,253,254
254,255,253,254
254,255,253,254
254,255,253,254
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,254,253,254
255,254,253,254
255,254,253,254
255,254,253,254
255,254,253,254
255,254,253,254
255,254,253,254
255,254,253,254
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
255,255,254,255
254,254,254,254
254,254,254,254
254,254,254,254
254,254,254,254
254,254,254,254
254,254,254,254
254,254,254,254
254,254,254,254
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
253,253,253,253
254,254,254,254
254,254,254,254
254,254,254,254
254,254,254,254
254,254,254,254
254,254,254,254
254,254,254,254
254,254,254,254
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
253,253,253,253
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
